category,competitor,product_name,format,ingredients,retail_price,supply,differentiator
Hair Restoration,Happy Head,SuperSolution ProBlend,solution,Minoxidil 8% + cetirizine 1% + latanoprost 0.005% + dutasteride 0.25% + finasteride 0.25% + melatonin 0.1% + caffeine 0.2% + tretinoin 0.001% + vitamin D3 1000 IU/mL + biotin 0.2%,"$79/mo subscription; $99 one-time; first order promo $49",30 mL (~30 days) billed monthly,"10-in-1 formula; dual 5AR inhibition plus growth, inflammatory, prostaglandin, antioxidant and scalp-support pathways"
Hair Restoration,Musely,Hair Topical Classic,cream,Minoxidil 8% + dutasteride 0.3% + spironolactone 0.075% + tretinoin 0.01% + ketoconazole 2% + hydrocortisone 1%,$99 auto-refill / $141 one-time for 3 months,"90-day supply; auto-refill equiv $33/mo","Combines DHT suppression, minoxidil, topical antiandrogen, retinoid, antifungal and anti-inflammatory components"
Hair Restoration,Musely,Hair Topical Modern,cream,Melatonin 0.1% + caffeine 0.5% + latanoprost 0.004% + cetirizine 1% + 250 million exosomes,$109 auto-refill / $154 one-time for 3 months,"90-day supply; auto-refill equiv $36.33/mo","Nontraditional regenerative/scalp formula; can be paired with Classic at $69/mo bundle"
Hair Restoration,Maximus,All-in-One Gel,gel,Dutasteride 0.1% + minoxidil 5% + tretinoin 0.01% + fexofenadine 0.1% + melatonin 0.0033% + caffeine 0.2%,$64.99/mo,Available as 90-day supply,Unusual use of fexofenadine plus melatonin/caffeine layered onto dutasteride/minoxidil/tretinoin core
Hair Restoration,XYON,Topical Dutasteride,gel,Dutasteride 2% in proprietary SiloxysSystem controlled-release gel,$139 subscription / $149 one-time + $20 consultation,"30-day supply; subscription every 30 days",Patented controlled-release vehicle intended to retain drug in scalp tissue
Hair Restoration,Ro,Mane Spray,spray,Minoxidil 6% + finasteride 0.3% + tretinoin 0.025%,"$50/mo quarterly; $43/mo on 6-month plan","Quarterly = 90 days; 6-month = 180 days",Simple high-clarity 3-in-1 with tretinoin to enhance minoxidil absorption
Hair Restoration,Keeps,Minoxidil+ Spray,spray,Minoxidil 5% + melatonin 0.1% + tretinoin 0.01% + caffeine 0.2%,"$135/bottle (quarterly); equiv $45/mo",1 bottle = 3-month / ~90-day supply,Non-5AR option for multi-ingredient topical growth without finasteride/dutasteride
Hair Restoration,AlgoRX,FollicRX,solution,Minoxidil + dutasteride + tretinoin + fluocinolone (topical solution),$199,Prescription topical solution,Adds fluocinolone (anti-inflammatory corticosteroid) to standard dutasteride/minoxidil/tretinoin base
Hair Restoration,AlgoRX,Biotin/Finasteride/Minoxidil,tablet,Biotin + finasteride + minoxidil (oral tablet),"$85; sale $79",Oral tablet,Oral multi-ingredient hair blend combining vitamin + 5AR inhibitor + vasodilator
Hair Restoration,Happy Head,SuperCapsule,capsule,Finasteride + minoxidil + vitamin D3 (oral capsule),$49 first order promo,30-day supply billed monthly,"Oral companion to topical SuperSolution; combines oral finasteride + minoxidil + vitamin D3"
Sexual Wellness,BlueChew,GOLD,tablet,Sildenafil 70 mg + tadalafil 18 mg + apomorphine 2 mg + oxytocin 160 IU,"From $7.30/tablet; varies by pack size and strength","As-needed; monthly packs 6/10/18 tablets; quarterly 18 tablets/90 days","Four-pathway: rapid + long PDE5, dopaminergic arousal, oxytocin/intimacy signaling"
Sexual Wellness,Strut,SuperStrut,troche,Tadalafil 15 mg + vardenafil 5 mg + apomorphine 2 mg + oxytocin 100 IU,"$79-$99/mo for 10 tablets; tiered by strength",10 dissolvable tablets per 30-day auto-refill,Brain + body architecture using vardenafil + tadalafil with tiered strengths
Sexual Wellness,Ro,Sparks,troche,Sildenafil 55 mg + tadalafil 22 mg,"$12/dose; monthly $48 (4 doses) to $168 (14 doses)",4-14 as-needed doses per 30-day plan,Clean dual-PDE5: fast-onset sublingual delivery plus long tadalafil window
Sexual Wellness,Maximus,Blood Flow Protocol,tablet,"Tadalafil + vardenafil (daily or as-needed); examples 2.5+2.5 mg or 5+5 mg","Daily 2.5/2.5: $99.99/mo; 5/5: $149.99/mo; as-needed 4-12 doses $59.99-$159.99","Daily: 30 doses/30 days; as-needed: priced by dose count",Positions PDE5 therapy as whole-body blood flow / performance support
Sexual Wellness,Strut,Mojo,capsule,Enclomiphene with optional tadalafil,$79-$119/mo,30-day supply,Combines hormone optimization / fertility-preserving testosterone support with ED treatment
Sexual Wellness,Hims,Sex Rx + Climax Control,tablet,Tadalafil + fluoxetine,From $39/mo paid upfront,"Monthly; personalized dose/count",Targets ED + premature ejaculation in one daily regimen
Sexual Wellness,Hims,Testosterone Rx+,capsule,Enclomiphene + tadalafil + supplement blend,From $99/mo on 10-month plan,"10-month plan; monthly-equivalent pricing",Broadens sexual wellness into low-T symptoms while preserving ED component
Sexual Wellness,Rugiet,Ready,troche,Sildenafil + tadalafil + apomorphine (sublingual troche),Subscription pricing (not publicly listed per-unit),"As-needed sublingual; effects last up to 36 hours","3-in-1 brain + body ED treatment; proprietary RD-37 sublingual delivery; works in ~15 min"
Sexual Wellness,Rugiet,Daily Boost,chewable,Tadalafil + DHEA (daily cinnamon chewable),Subscription pricing,"Daily chewable; 24-36 hour effects per dose","2-in-1 daily ED + testosterone support; always-on erection support"
Sexual Wellness,Rugiet,Go Long,troche,Paroxetine + tadalafil (oral dissolving tablet),Subscription pricing,"As-needed; effects last up to 36 hours","2-in-1 PE + ED treatment; dual-action climax control targeting brain serotonin + body blood flow"
Sexual Wellness,AlgoRX,PT141/Oxytocin/Tadalafil Sublingual,sublingual,PT-141 + oxytocin + tadalafil (sublingual tablet),$150,Prescription sublingual tablet,Triple-action: PDE5 + melanocortin arousal + oxytocin signaling in one sublingual
Sexual Wellness,AlgoRX,Vast FDT Sublingual,sublingual,Undisclosed multi-ingredient sublingual (fast-dissolving tablet),"$220; sale $199",Prescription sublingual tablet,Premium fast-dissolving sublingual ED formulation
Sexual Wellness,AlgoRX,Apomorphine HCl Mini Troche,troche,Apomorphine HCl (sublingual mini troche),$195,Prescription mini troche,"Standalone dopamine-agonist arousal pathway; brain-targeted ED treatment without PDE5 inhibitor"
